English Sentences,Hindi Reference Sentences
There is a palace on either side of which it has a hollow ceiling with rolling iron spheres in it.,दोनों ओर वहां एक महल है जो अपने में एक लहरदार लोहे की वृत्तों के साथ एक खोखली छत रखता है।
"When water is made to flow into the ceiling, these spheres collide with each other and produce a mesmerizing sound of raining clouds.","जब पानी छत बहने को बनता है, ये वृत्त एक दूसरे के साथ टकराते हैं और बरसने वाले बादलों की एक मंत्रुग्ध करने वाली ध्वनि पैदा करते हैं।"
Atithi Devo  Bhava' are the words that can equate a person with God.,‘अतिथि देवो भवः’ शब्द जो एक व्यक्ति की भगवान के साथ तुलना करवा सकते हैं।
Bhutte ki Kees'  is made of corn and milk and 'Chakki ki Shaak is made from heated dough that is steamed and is used with  curd.,‘भुट्टे की कीस’ मक्का और दूध से बनता है और ‘चक्की की शाख’ गर्म गूंथे हुए आटे से बनता है जो भाप से पका है और दही के साथ प्रयोग होता है।
"Khajuraho is the nearest airport available, from where the Bandhavgarh park is a five hour drive (273kms) through the Ken river and Panna town.","खुजराहो उपलब्ध सबसे समीप का हवाईअड्डा है, जहां से केन नदी और पन्ना कस्बे के माध्यम से बांधवगढ़ उद्यान एक पांच घंटे की चालन (273 किमी) पर है।"
"A winding road from Amber Palace leads to one such example, the Jaigarh Fort or the Victory Fort in Jaipur, which stands amidst the thorn-scrub hills that cast a sterner look to the already forbidding Fort.","आम्बेर महल से एक घुमावदार सड़क एक ऐसे ही उदाहरण की ओर ले जाती है, जयगढ़ या विजय किला, जो कंटिली पहाड़ियों के बीच में खड़ा है जो पहले से ही डरावने किल के लिए एक सख्त दृश्य छोड़ता है।"
"Akshardham, of recent, has come into the spotlight as being the largest Hindu temple complex in the world, as revealed by the Guinness Record Books.","अक्षरधाम, हाल ही का, विश्व में सबसे विशाल मंदिर परिसर बनकर, गीनिज रिकोर्ड बुक में प्रकटित होकर चर्चा में आ चुका है।"
Mr. Brown had his appendix removed in the hospital.,श्री ब्राउन का अपेण्डिक्स अस्पताल में निकाल गया था।
The Baigas are the sub-tribe of the Gond tribe that specialises in the job of priesthood.,बैगाज गोण्ड जनजाति की उप-जनजाति है जो पुरोहित का काम करने में विशेषज्ञ है।
The Bamboo and the Sal forests are not all that Pachmarhi has to offer.,बांस और साल के जंगल कहीं भी नहीं है जो पचमढ़ी प्रदान करता है।
